"Data Source","ตัวชี้วัดด้านการพัฒนาโลก",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"ประเทศไทย","THA","การย้ายถิ่นฐานสุทธิ","SM.POP.NETM","","","0","","","","","0","","","","","395572","","","","","287226","","","","","339923","","","","","504404","","","","","-607538","","","","","715832","","","","","373746","","","","","59008","","","","","167314","","","","","97222","","","",
"ประเทศไทย","THA","การว่างงานทั้งหมด (คิดเป็น % ของกำลังแรงงานทั้งหมด)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.63000011444092","1.35000002384186","1.49000000953674","1.35000002384186","1.10000002384186","1.07000005245209","0.870000004768372","3.40000009536743","2.97000002861023","2.39000010490417","2.59999990463257","1.82000005245209","1.53999996185303","1.50999999046326","1.35000002384186","1.22000002861023","1.17999994754791","1.17999994754791","0.949000000953674","0.620000004768372","0.660000026226044","0.579999983310699","0.25","0.579999983310699","0.600000023841858","0.689999997615814","0.829999983310699","0.769999980926514","0.720000028610229","1.10000002384186",
"ประเทศไทย","THA","อัตราส่วนจำนวนคนยากจนที่เส้นความยากจนแห่งชาติ (% ของประชากร)","SI.POV.NAHC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3","","32.4","","26.8","","21.9","20","20.4","17.9","16.4","13.2","12.6","10.9","10.5","7.2","8.6","7.9","9.9","6.2","",
"ประเทศไทย","THA","ดัชนี GINI","SI.POV.GINI","","","","","","","","","","","","","","","","","","","","","","45.2","","","","","","","43.8","","45.3","","47.9","","43.5","","42.9","","41.5","43.1","42.8","","41.9","","42.5","","41.8","39.8","40.3","39.6","39.4","37.5","39.3","37.8","37","36","36.9","36.5","36.4","34.9","",
"ประเทศไทย","THA","อัตราส่วนจำนวนคนยากจนที่ $1.90 ในหนึ่งวัน (PPP) (% ของประชากร)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","19.3","","","","","","","14","","9.2","","6.6","","3.1","","2.2","","1.5","2.5","2.4","","1.1","","0.7","","0.7","0.3","0.1","0.2","0.1","0","0.1","0","0","0","0","0","0","0.1","",
"ประเทศไทย","THA","ส่วนแบ่งรายได้จากอัตราที่ต่ำที่สุด 20 %","SI.DST.FRST.20","","","","","","","","","","","","","","","","","","","","","","5.4","","","","","","","6.1","","5.9","","5.4","","6.1","","6.2","","6.4","6.1","6.2","","6.3","","6.1","","6","6.5","6.4","6.5","6.6","7.2","6.6","6.9","7.1","7.5","7.3","7.3","7.2","7.7","",
"ประเทศไทย","THA","น้ำหนักเทียบกับอายุ ความชุกของภาวะทุพโภชนาการ (คิดเป็น % ของเด็กอายุน้อยกว่า 5 ปี)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","","","","","","16.3","","15.4","","","","","","","","","","","7","","","","","","9.2","","","","6.7","","","7.7","",
"ประเทศไทย","THA","การทำคลอดจากเจ้าหน้าที่ด้านการแพทย์ที่มีความเชี่ยวชาญ (คิดเป็น % ของทั้งหมด)","SH.STA.BRTC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9","","","","","","","","","","","","","99.3","","","","","","96.9","","","99.4","","","99.6","99.6","","","99.1","","","","",
"ประเทศไทย","THA","การฉีดวัคซีนป้องกันโรคหัด (คิดเป็น % ของเด็กอายุ 12-23 เดือน)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","5","26","45","52","63","66","80","79","74","80","86","91","92","93","96","96","94","94","94","96","96","96","96","96","98","98","98","98","98","99","99","99","99","99","96","96","",
"ประเทศไทย","THA","อัตราการเสียชีวิตของเด็กที่อายุต่ำกว่า 5 ปี (ต่อการเกิด 1,000 คน)","SH.DYN.MORT","146.6","141.6","136.5","131.6","126.8","122.1","117.5","112.8","108.1","103.5","98.9","94.3","89.8","85.5","81.3","77.4","73.7","70.2","66.9","63.8","60.8","58","55.4","52.8","50.4","48","45.7","43.5","41.3","39.2","37.1","35.1","33.3","31.5","29.9","28.4","27","25.6","24.3","23.1","22","20.9","19.9","18.9","18","17.2","16.4","15.6","14.9","14.2","13.6","13","12.4","11.8","11.3","10.8","10.3","9.9","9.4","9","8.7",
"ประเทศไทย","THA","ความชุกของการติดเชื้อเอชไอวีทั้งหมด (คิดเป็น % ของประชากรอายุระหว่าง 15-49 ปี)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","1.1","1.5","1.8","2","2.1","2.2","2.2","2.2","2.2","2.1","2.1","2","1.9","1.8","1.8","1.7","1.7","1.7","1.6","1.6","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1",
"ประเทศไทย","THA","การใช้จ่ายเพื่อการศึกษาของประชาชนทั้งหมด (คิดเป็น % ของจีดีพี)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","3.06622004508972","3.02915000915527","2.55425000190735","2.14686989784241","2.38088011741638","3.01672005653381","3.21512007713318","","2.84528994560242","2.57453989982605","2.88314008712769","3.27388000488281","3.46387004852295","3.43722009658813","","3.40797996520996","3.11581993103027","2.75342011451721","2.5024299621582","","3.08859992027283","3.04540991783142","","3.4052300453186","3.14497995376587","3.49960994720459","4.57718992233276","4.62569999694824","4.83267021179199","5.25345993041992","4.81787014007568","3.86491990089417","3.72561001777649","4.03088998794556","3.93859004974365","4.05038022994995","3.60314989089966","3.50850009918213","3.86193990707397","3.5084400177002","4.80555009841919","4.53670978546143","4.12402009963989","3.72356009483337","3.75967001914978","3.63752007484436","3.3557300567627","3.05677008628845","2.96898007392883","",
