country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,hdi
Afghanistan,35383028,18116562465,,102.4864731,51.65594101,,51.3,63.763,0.2782,64.0548831,0.208857196,1.850994088,0.024873504,61.05463771,,33.981,53.2079642,2.519922544,0
Albania,2876101,11861199831,15.42,105.5538635,95.71499634,58.3818512,8.4,78.194,1.2164,93.75487823,1.714126173,28.80218978,9.228640975,116.7444442,,12.08,68.66009247,12.95621108,2
Algeria,40551398,1.60034E+11,10.2,113.8302002,,42.62884903,21.3,76.298,1.8325,93.62277749,3.535019927,0.821247986,7.051711073,116.0042077,,25.25,64.85756642,6.007981181,1
Andorra,77295,2896679212,,,,,3.2,,,99.99999506,6.080600298,34.04255319,42.03267915,98.49282637,,8.8,,,3
Angola,28842482,1.01124E+11,,,50.67147827,9.336259842,55.6,59.925,,55.08427644,1.227702942,55.20784471,0.293747187,45.07629005,,41.882,50.68562911,2.261018458,0
Antigua and Barbuda,94520,1436585185,,,,,6.5,76.617,,96.73918628,5.289885738,19.04545455,9.7972008,190.4217843,,15.717,69.23207126,8.360574227,1
Argentina,43590368,5.57531E+11,,110.7391815,108.4623337,87.21344757,9.7,76.221,4.0013,99.0238575,4.227539442,10.60039683,16.66727115,146.4538276,,17.383,64.06056661,10.85997758,2
Armenia,2936147,10546135160,17.62,94.51789856,,51.08018875,12.2,74.64,,99.56094081,1.726752782,11.56691254,10.18921762,116.9754675,,14.568,68.7610583,10.97872277,1
Australia,24190907,1.20669E+12,5.71,100.7444077,153.0131989,120.9657135,3.2,82.44878049,3.5672,99.96997302,15.87207954,17.42548771,30.39231558,109.4312952,,12.9,65.90657302,15.1411186,3
Austria,8736668,3.95569E+11,6.01,102.2643585,100.9630203,83.45494843,3,81.64146341,5.1234,100,7.255626516,47.07695104,28.84661223,126.6614696,,10,66.9201963,18.90914695,3
Azerbaijan,9757812,37867518957,5,106.4317398,,25.92642021,21.8,72.493,,93.18356464,3.347061821,13.15441152,18.52561662,104.6523726,,16.3,71.02714111,5.835522707,1
"Bahamas, The",377923,11992600000,12.7,,,,11.7,73.329,,98.8869605,5.794831222,50.93506494,22.52480618,95.30865504,,14.131,69.77191543,6.875082687,2
Bahrain,1425793,32234973404,,101.093132,103.8538437,46.56613922,6.3,76.899,,100,21.18119531,0.795892169,16.29866067,210.0492218,,14.738,77.26758181,2.342487544,2
Bangladesh,157977151,2.21415E+11,4.35,,71.41584015,17.87435913,29.3,71.785,0.4974,97.22961308,0.466776363,14.46877161,4.173005954,86.07690632,,18.824,66.11132307,5.135613502,0
Barbados,285798,4830000000,8.25,97.28296661,106.5098038,,12.7,78.888,,98.48444616,4.583656989,14.65116279,30.4017551,116.2395555,,10.732,67.00618623,15.04184803,2
Belarus,9501534,47722657821,5.84,101.0770416,104.7959213,88.18457794,2.9,73.82682927,,96.48867563,5.810640682,42.90696987,32.47559748,121.112623,,12.4,69.07010989,14.41574703,2
Belgium,11331422,4.7574E+11,7.83,103.3177719,161.0331573,75.89064026,3.1,81.43902439,3.0679,100.0000013,8.323756718,22.76420079,37.60922178,110.5368746,,10.8,64.61143766,18.37185871,3
Belize,368399,1789304088,7,114.4841614,87.00610352,24.21410942,12.5,74.219,,97.58453956,1.764391326,57.94300745,4.987513572,60.51248643,,21.4,63.96579805,4.510586319,1
Benin,10872072,11821066153,,130.9022827,59.04251862,12.94939995,63,60.885,0.0481,64.92204449,0.665006634,29.57742107,0.20509447,81.7921125,,37.027,53.89830798,3.23552209,0
Bhutan,736706,2158972129,,102.6606827,85.34536743,,26.4,70.781,0.4059,96.83756512,1.669594112,71.23427013,2.23820021,94.79644581,,17.625,67.41476949,5.842613356,0
Bolivia,11031822,33941126200,3.5,96.55513,91.42639923,,23.9,70.626,1.5901,91.06696927,1.958878597,47.77132835,2.606905809,91.60973889,,22.433,61.11593252,6.900623959,1
Bosnia and Herzegovina,3386263,16914287349,25.41,,,50.78256989,5.3,76.998,,96.15126178,6.597243038,42.50996094,19.56337748,100.5249735,,8.477,70.000378,15.07843743,1
Botswana,2159925,15082578065,,,,25.9108696,33,68.178,0.5269,89.40444271,3.296410755,27.75201595,2.734212777,152.2730166,,25.943,61.32850786,3.957078179,1
Brazil,206163056,1.79569E+12,11.6,114.5202789,102.0632629,50.73448944,14.6,75.23,,97.95583878,2.143497524,60.07103255,13.02890048,118.3855945,,14.307,69.64878959,8.301687306,1
Brunei Darussalam,419791,11400854268,,107.122818,94.05417633,31.92415047,9,75.45,,99.90002801,15.26950316,72.10626186,8.604097189,124.6910434,,15.882,71.8158647,4.300619343,2
Bulgaria,7127822,53953897624,7.57,91.08322144,99.67707825,71.2457428,6.5,74.81219512,,99.15790041,5.855926256,35.38135593,23.73603406,125.4743844,,9.1,65.2542739,20.42934287,2
Burkina Faso,18646350,12833363370,,91.11083984,35.78715134,5.56196022,58,60.354,0.0645,49.54416459,0.187704296,23.45175439,0.066415118,82.61152567,,38.92,52.20262596,2.409730759,0
Burundi,10488002,2732808557,,128.0420532,47.47816849,3.681080103,44.2,60.528,0.05,60.20415097,0.043859641,10.8894081,0.030940137,51.08522649,,40.278,52.30296162,2.135298501,0
Cabo Verde,531140,1662998678,,103.9074707,93.6871109,24.00532913,15.5,72.347,,86.34735905,1.035508529,11.0471464,2.925937501,113.331551,,20.345,65.92895362,4.493114887,0
Cambodia,15766290,20016747754,0.72,110.1876526,,,25.9,68.977,,69.08113407,0.627921978,49.2359506,0.619302243,126.3169742,,23.291,64.35303875,4.25764663,0
Cameroon,23926549,33814337900,,116.1173019,60.05815887,12.47752953,55.4,58.063,,64.33898773,0.357343635,43.50337416,1.52458664,78.22900593,,36.429,54.204904,2.731593032,0
Canada,36109487,1.52799E+12,7,101.0238724,112.5142822,66.43917847,4.5,81.9,2.3105,99.22739547,15.24474718,38.71201338,36.79332821,84.5231216,,10.6,67.64695567,16.4550098,3
Central African Republic,4537683,1825018191,,102.018898,15.03944016,,87.4,51.593,,41.2766431,0.068316804,35.9931298,0.016219721,27.51062987,,36.029,52.21238314,2.83307395,0
Chad,14561658,10097778354,,86.84687042,22.55660057,,74.4,53.438,0.0471,44.74869976,0.070046969,3.787325286,0.035202031,38.35901264,,43.201,49.90749681,2.453854849,0
Chile,18209072,2.5044E+11,6.74,100.9782562,101.7775269,87.18814087,6.6,79.779,2.2937,99.73718587,4.73170736,23.83086404,15.95128317,127.972519,,13.031,68.82224834,10.87837115,2
China,1378665000,1.12333E+13,,97.96192169,,48.01902008,8.5,76.21,1.8647,92.31599823,7.118705414,22.5428773,22.81370164,96.52661691,,12.95,72.20275277,9.802631139,1
Colombia,48175048,2.82825E+11,8.69,116.2337036,95.01463318,55.48424911,13,76.732,2.0335,96.61696481,1.738659399,54.04190176,12.27392136,121.8160055,,15.308,68.0179463,7.936288268,1
Comoros,795597,1012835518,,,,,52.6,63.7,0.2715,80.14885509,0.251383552,18.62976894,0.205381653,57.11331939,,32.852,57.09911613,2.924237549,0
"Congo, Rep.",4980996,10215989995,,,,,37.6,63.556,,72.18665483,0.672556252,64.43045388,,108.8938839,,33.933,55.3186953,2.605663606,0
"Congo, Dem. Rep.",78789130,37134799975,,,,6.603340149,71.8,59.655,0.074,43.35584023,0.026145739,57.59058689,0.001269211,36.66662914,,42.278,50.63351317,3.02043834,0
Costa Rica,4899336,58847016045,8.6,111.7611389,125.8161621,53.63869858,7.5,79.738,1.3759,99.59608945,1.649203076,58.15511163,13.04433552,170.0362804,,14.512,69.18392152,8.965463751,2
Croatia,4174349,52295158344,13.1,98.20056915,98.87110901,66.53237915,4.2,78.02195122,2.9996,,4.058117805,34.00106379,24.80146614,104.888678,,9,65.95282709,19.61568236,2
Cuba,11335108,91370000000,2,99.56202698,100.1145477,34.03981018,4.1,78.607,7.9541,96.09701637,2.509901097,31.1514802,0.127285996,35.18185629,,10.611,69.03808734,14.38845202,1
Cyprus,1170189,20953442550,12.95,98.54550934,99.11930847,67.17111206,2.1,80.513,1.9509,99.78076077,6.110124091,18.68073593,32.57873187,132.6368741,,10.852,70.0034268,13.12379987,3
Czech Republic,10566332,1.96272E+11,3.95,100.2088776,104.6348114,63.7481308,2.5,79.02682927,4.0194,99.88016949,9.734693175,34.57459207,28.91055035,117.5742832,,10.7,66.27224569,18.52155086,3
Cote d'Ivoire,23822726,47964234560,2.6,95.88668823,45.03580856,8.949250221,63.9,56.567,,71.04239202,0.39122307,10.34044025,0.572478854,115.2314132,,36.225,54.79850449,2.820346162,0
Denmark,5728010,3.13116E+11,5.99,101.8048325,129.1194916,81.05674744,3.5,80.85365854,4.0099,99.99999893,6.176665194,15.6165,43.09670097,122.300966,,10.8,63.98027856,19.42245168,3
Djibouti,929117,2603540257,,69.38295746,48.11304855,,52.7,65.064,,75.83262734,0.52738245,0.241587575,2.61270977,37.15870638,,22.432,65.27921284,4.388276117,0
Dominica,71307,576229629.6,,114.7266235,,,28.4,,,95.42065606,2.524296352,63.82666667,21.71876534,110.008835,,,,,1
Dominican Republic,10397738,75704720190,7.28,110.2987518,79.88292694,54.49900055,25.4,73.471,,96.37630273,2.352434731,43.71227489,7.321349897,83.75022036,,20.07,64.77723382,6.689183737,1
Ecuador,16491116,99937696000,4.6,104.9349594,103.7501297,,12.7,76.365,2.0368,93.76941497,2.365516075,51.3565389,9.760321861,84.18035505,,20.205,64.5292714,6.763805433,1
"Egypt, Arab Rep.",94447071,3.32442E+11,12.41,105.3935776,85.14644623,33.85890961,19.2,71.482,0.8214,99.18797298,2.477154638,0.045185594,4.731924302,103.540997,,27.677,61.20794447,5.146599938,1
El Salvador,6356137,24191430000,4.42,99.80045319,73.96273041,27.91809082,12.7,72.644,1.5662,96.57988846,1.128043653,29.04826255,6.219290535,151.6211797,,18.587,64.22193459,7.926457916,0
Equatorial Guinea,1215181,11240808847,,,,,66.1,57.713,,64.4255207,4.608366984,88.4798574,0.278312678,47.37158281,,34.234,60.04345035,2.508352672,0
Eritrea,,,,,,3.362560034,33.1,65.111,0.0628,51.84972018,0.195465323,10.57326733,0.01776958,14.9856792,,31.521,,,0
Estonia,1315790,24056487771,6.76,97.11779785,115.014122,71.39044952,2.3,77.64146341,3.4546,99.53615906,11.89399524,55.69933287,31.48308786,144.1630523,,10.7,64.81120538,19.05811578,3
Eswatini,1113994,3816022047,22.72,116.7950134,82.41220856,,44,56.962,0.3285,67.58835188,1.104135211,28.64651163,0.62836794,89.31801432,,27.176,57.36586364,3.988430849,0
Ethiopia,103603461,74296618481,,,,10.17908001,41.2,65.482,0.0464,43.60707813,0.144300199,15.37274233,0.539557259,49.44236323,,33.207,54.806239,3.472978538,0
Fiji,872406,4930204230,4.32,106.4388885,,,20.9,67.175,,94.26044941,1.99448422,60.93596059,1.413573376,119.7485325,,21.799,65.11699349,5.137786724,1
Finland,5495303,2.40608E+11,8.82,100.4188385,152.1628571,86.97852325,2,81.42926829,3.8118,99.99999556,8.318012674,73.73564542,31.1402214,131.3291545,,9.6,62.87518101,20.79095435,3
