country,pop,gdp,unemployment,primary,secondary,tertiary,mortality_infant_rate,life_expectancy,physician,basic_drinking_water,co2,forest_land,broadband,mobile,power,birth_rate,age_15_64,senior,hdi
France,66724104,2.47129E+12,10.05,102.2604294,103.3080978,64.72767639,3.5,82.57317073,3.2376,100,4.686612202,30.89979673,42.80350858,104.4897355,,11.8,62.4703445,19.28412493,3
Gabon,2007882,14023890620,,,,,34.3,65.418,0.3561,84.20854944,2.843792613,91.50510343,0.747955672,147.543495,,32.604,59.80552555,3.60585555,1
"Gambia, The",2149134,1484579844,,92.02220917,,,38.8,61.166,,79.55916761,0.246610961,26.24505929,0.174488725,132.0589763,,39.363,52.90754052,2.639060534,0
Georgia,3727505,15141758567,16.6,100.3439484,100.9073486,51.83005142,9.1,73.207,5.9973,96.44757681,2.58886306,40.61591596,16.9604403,137.7647586,,13.925,66.25135414,14.49810108,2
Germany,82348669,3.4675E+12,4.12,102.6775589,98.81199646,69.58058929,3.3,80.9902439,4.1944,99.99999762,9.073006389,32.68548202,38.76437445,125.8854564,,9.6,65.39599085,21.28871011,3
Ghana,28481947,56165172899,,106.7279663,68.90293884,15.53598022,37.4,63.124,0.127,81.27978114,0.495401526,34.81691131,0.304038225,134.4889824,,30.28,58.94660284,3.030695411,0
Greece,10775971,1.93017E+11,23.54,99.27773285,102.9568481,131.540863,3.9,81.38780488,5.4036,99.9999977,6.203617289,30.26997673,34.0552614,118.122548,,8.6,64.51476823,21.12995676,3
Grenada,110263,1061640741,,112.4978714,115.1868591,96.41531372,14.5,72.408,,95.62865044,2.539383111,52.05882353,18.88337672,107.9012525,,16.905,67.16336692,9.603576967,1
Guatemala,15827690,66053725049,2.58,100.8123016,53.43598938,,22.9,73.541,,92.4944136,1.103130021,33.35386338,3.05130363,110.1395181,,25.267,59.74785981,4.592254175,0
Guinea,11738434,8595955581,,91.50917053,,9.342309952,67.4,60.17,0.0832,63.71828612,0.241088377,25.8383526,0.00937093,94.64639604,,37.171,52.46573455,2.889926753,0
Guinea-Bissau,1782434,1179004941,,,,,57.3,57.328,0.1274,58.84309091,0.168309177,71.61344239,0.049707199,72.13911508,,36.265,54.68375338,2.717850495,0
Guyana,771363,4482697337,,,,,26.7,69.454,,95.53634959,2.994698994,93.73716027,7.41578598,75.79508095,,20.427,65.06570146,5.972894909,0
Haiti,10839976,13987693739,,,,,51.9,62.896,,65.02301688,0.313653831,13.05297533,0.012435459,60.0002583,,25.162,61.26775259,4.729680986,0
Honduras,9270794,21566622850,6.73,92.58468628,51.82078171,20.92457962,15.9,74.701,0.5982,93.75471605,1.013936886,57.58378765,2.377207133,84.48900013,,22.13,62.55904699,4.440514541,0
"Hong Kong SAR, China",7336600,3.20838E+11,3.39,108.1417465,103.5592804,72.33812714,,84.22682927,,100,,,36.25336886,242.7675438,,8.3,73.0503668,15.75198984,3
Hungary,9814023,1.28636E+11,5.11,101.8788071,102.7139511,48.03886032,4,76.06341463,3.2313,99.97080712,4.532290173,22.55895244,28.85809714,102.0406696,,9.7,67.626637,18.00234287,2
Iceland,335439,20793168031,2.98,99.53414154,117.6290131,73.60044098,1.7,82.20487805,3.8892,100.0000017,6.171017681,0.485386534,38.53723292,120.8927593,,12,65.78779432,14.06777722,3
India,1324517250,2.2948E+12,,114.5383224,75.09179688,26.82921982,33.1,68.897,0.759,88.61740577,1.648359053,23.91182535,1.408310236,85.14868348,,18.332,66.27426247,5.79330515,0
Indonesia,261556386,9.31877E+11,4.3,105.6098785,84.95211792,35.43735886,22.5,71.035,,89.32043532,1.89244089,50.74345453,1.998572155,147.4150225,956,18.79,67.2429804,5.524336262,1
"Iran, Islamic Rep.",79563991,4.17984E+11,12.61999989,111.2355728,86.86631775,69.63565826,13.3,76.047,,96.94934902,7.613494401,6.570691815,9.562818677,101.2018754,,19.102,70.0525812,5.914568964,2
Iraq,36610632,1.66602E+11,10.82,,,,23.9,70.122,0.8536,95.13617253,4.70764886,1.900361184,,91.35870695,,30.388,57.74782855,3.150920749,0
Ireland,4755335,2.98725E+11,8.37,101.3414917,117.028717,77.55713654,3.1,81.65365854,3.2323,97.38347989,8.140330807,11.06619248,28.96652504,103.8191107,,13.4,65.09707974,13.14759489,3
Israel,8546000,3.19024E+11,4.8,104.7480469,105.233078,64.90019989,3.1,82.40731707,3.4632,99.99999925,7.636321086,6.469500924,27.84565516,130.3492361,,21.2,60.60107399,11.47056013,3
Italy,60627498,1.8758E+12,11.69,99.42546082,101.6623535,60.93732834,2.9,83.24390244,3.9504,99.91703407,5.498165205,31.79060991,25.65528181,141.6939815,,7.8,64.16047427,22.23486089,3
Jamaica,2906242,14077109397,13.19,,83.7769165,,13.1,74.175,0.4549,90.56120731,2.666674007,53.67867036,9.843247417,112.4252814,,16.46,67.09541138,8.60067799,1
Japan,126994511,5.00368E+12,3.1,98.24278259,102.3720169,63.58443832,2,83.98487805,2.4115,98.96183223,9.22394197,68.42249657,31.15573635,130.5952482,,7.8,60.49382348,26.59181651,3
Jordan,9554286,39892551127,15.28,78.56041718,,35.58393097,14.7,74.184,1.3954,98.99387975,2.601973606,1.09822032,3.111943687,102.7648325,,23.396,60.75659657,3.781486131,1
Kazakhstan,17794055,1.37278E+11,4.96,109.8852081,113.2500229,46.61611938,9.8,72.41,,95.22050548,12.5333995,1.236326258,13.17880684,143.2053265,,22.52,65.77406829,6.918427734,2
Kenya,49051531,74815121315,2.76,103.2053375,,11.42673016,34.5,65.393,,58.89260448,0.3826588,6.240942475,0.270535882,79.47190398,,29.943,56.92169994,2.176349877,0
Kiribati,112529,178328984.1,,106.2838364,,,43.5,67.577,,74.69890107,0.71092785,1.456790123,0.097756923,46.21236358,,28.663,61.39401372,3.694322989,0
"Korea, Rep.",51217803,1.50011E+12,3.65,97.71842194,100.4850464,94.03362274,2.9,82.27560976,2.3037,99.56447646,12.00324817,64.87911457,40.31833895,120.2263275,,7.9,73.16412851,13.33794019,3
Kuwait,3956862,1.0942E+11,2.16,100.5321503,,57.28532028,7.3,75.224,,100,22.71496959,0.350729517,2.562375612,193.571063,,15.369,76.46089401,2.241971253,2
Kyrgyz Republic,6079500,6813092066,7.21,104.6014709,93.8347168,45.11103821,18.9,70.95121951,,89.04474796,1.595525948,6.549739312,3.965424993,125.3393872,,26,63.72269864,4.358538308,1
Lao PDR,6845848,15912495369,,109.6517563,66.30924225,17.26186943,40.4,66.924,,79.59784865,2.243695741,72.50216638,0.356800314,57.82353269,,24.337,62.88211859,3.912168051,0
Latvia,1959537,28064533352,9.64,99.19854736,111.2968063,80.60481262,3.9,74.5804878,3.1885,98.57676426,3.648821125,54.65727624,26.29605129,134.240928,,11.2,65.09153275,19.6798709,2
Lebanon,6714281,51389318291,,,,,6.8,78.8,2.0115,91.58075057,4.141917802,13.77614858,,63.70068515,,17.744,66.48664243,6.519968408,1
Lesotho,2075041,2114323794,,117.6952667,58.51934052,10.19626045,72.3,52.059,,70.85738563,1.093954288,1.137022398,0.107468326,110.0185058,,27.501,61.93577924,4.83911076,0
Liberia,4586788,3398419600,3.08,89.47020721,,,65.2,62.802,,73.15081745,0.307404659,80.34136213,0.174414029,67.95610958,,33.843,55.0003303,3.196464104,0
Libya,6492160,26197143268,,,,,11,72.311,,98.15158471,7.883354692,0.123327688,2.60190673,117.9894772,,19.935,66.99872862,4.276541466,1
Liechtenstein,37655,6237264055,,105.4910202,116.0283737,35.02262115,,82.25853659,,100,3.983534723,41.875,42.31504594,117.6323756,,10,,,3
Lithuania,2868231,43018087238,7.86,102.8917999,107.4297714,71.11852264,3.9,74.67073171,4.7346,97.07374572,3.904845879,34.96056959,29.68486173,145.513378,,10.7,66.38965765,18.96844395,3
Luxembourg,582014,62174650367,6.29,100.7897873,103.6651611,19.56393051,2.4,82.68536585,2.9052,99.90687145,15.22300151,36.50205761,35.06173351,131.8915037,,10.4,69.7182977,14.04230196,3
Madagascar,24894370,11848613735,,143.8241882,38.31158829,4.825500011,39.6,65.931,,49.78933803,0.129346515,21.45527673,0.10598782,32.12876245,,33.138,55.82712075,2.878249178,0
Malawi,17205253,5433040160,,144.5329437,39.17525101,,35.3,62.681,0.0165,66.94335879,0.079045626,25.55897327,0.050519431,41.72202909,,35.163,52.66897724,2.647480907,0
Malaysia,30684652,3.01255E+11,3.44,104.9991837,84.70847321,46.76210022,7,75.649,,97.06169435,7.451282159,58.78752093,8.860455132,141.6489819,,16.957,69.08061926,6.203104001,2
Maldives,475505,4379136462,6.12,99.42769623,,,8.1,78.013,1.0379,99.11409317,3.680297789,2.733333333,6.163672,170.7902219,,15.641,75.39536331,3.858788001,1
Mali,17965448,14026048691,1.37,77.17025757,42.99298096,,65.2,57.987,0.1395,76.04238647,0.24602782,10.89666363,0.119362489,112.5365904,,42.638,49.62358011,2.521902744,0
Malta,455356,11721521913,4.69,103.9727402,95.80821991,48.60340881,6.1,82.45365854,,99.99999869,2.964713323,1.1875,39.27176752,134.252242,,9.8,66.41297693,19.37917482,3
Marshall Islands,57723,201510900,,84.74015808,64.4405365,,28.6,,,88.41369959,3.118341043,52.22222222,1.732051615,,,,,,3
Mauritania,4163532,6398744505,,96.83441925,32.67718887,5.352479935,53.8,64.208,,68.83201748,0.674907747,0.324633744,0.267585246,86.80541261,,34.569,56.46742802,3.123116834,0
Mauritius,1263473,12232463656,6.81,102.4534073,97.54029846,38.84852982,12.8,74.39487805,2.1943,99.86639665,3.197535681,18.86206897,16.84807804,143.755473,,10.4,70.65526027,10.44303471,2
Mexico,123333379,1.07849E+12,3.86,106.2777328,102.4040604,38.43338013,13.5,74.917,2.3244,98.45286453,3.885809372,34.05599424,12.91132337,90.59237542,,18.245,65.82178939,6.873320325,1
"Micronesia, Fed. Sts.",110215,332265200,,97.03672028,,,26.9,67.471,,88.30815668,1.542439777,91.85714286,2.875289207,21.24211768,,23.069,64.04845076,3.621104205,0
Moldova,2802170,8071480541,4.02,104.3766327,106.0199127,52.87162018,13.1,71.617,,88.96917224,2.904891566,11.75486618,13.70884816,93.17465849,,10.445,73.79855775,10.41601236,1
Mongolia,3056358,11181350461,7.24,102.9698029,,64.0191803,16.1,69.321,2.8592,81.72957231,5.944984194,9.103978705,7.399216847,110.1823278,,25.425,66.64579219,3.920835346,1
Montenegro,622303,4374128319,17.72999954,95.94374847,90.54210663,56.84529114,2.8,76.568,,97.6373839,3.390631252,61.48698885,18.30935619,165.9184968,,11.804,67.52483803,14.14189241,2
Morocco,35126274,1.03312E+11,9.3,110.3957825,,31.9865799,20.7,75.974,,85.11293354,1.795806751,12.77120771,3.574041694,118.1848162,,19.868,65.81884852,6.538053002,0
Mozambique,27829930,11936999283,,108.6465607,,7.243690014,59.8,58.309,0.0497,53.55726711,0.208049391,47.8500089,0.167441983,53.99077066,,38.236,51.88467542,2.901468915,0
Myanmar,53045199,60291738935,,108.9044418,60.31562042,,39.4,66.205,0.6195,75.56637556,0.412666941,45.48099773,0.169074673,95.3647362,,17.861,67.31718483,5.352983769,0
Namibia,2358044,10721994677,23.35,,,22.05948067,32.6,62.625,,82.90021701,1.848990095,8.408871722,2.728659855,112.803281,,29.534,59.42361551,3.704468619,0
Nepal,27263430,24524098184,,144.4888458,70.77674866,11.62351036,28.5,69.848,,88.27710856,0.342583453,41.59072201,0.822288228,117.8146017,,20.515,62.07694387,5.600402561,0
Netherlands,17030314,7.83528E+11,6.01,103.2867584,132.6916504,80.36483765,3.4,81.56097561,3.547,100.0000014,9.293428178,10.86308286,42.53368191,123.0177086,,10.1,65.0519292,18.37166129,3
New Zealand,4714100,1.88943E+11,5.150000095,98.82144928,114.3596878,81.77039337,4.4,81.61243902,3.3833,100.0000013,6.614199953,37.39603509,32.84852868,130.9219373,,12.6,65.19028216,14.99985513,3
Nicaragua,6303970,13286083645,3.9,,,,16,73.86,0.9537,81.41597396,0.853430457,31.63977065,2.808133409,122.8671311,,21.468,64.21182892,4.88383994,0
Niger,20788789,10398862245,,73.43232727,23.12496948,3.506419897,50.5,61.137,0.0433,45.8187016,0.094762615,0.891592327,0.03707285,35.94148156,,47.017,47.25836963,2.584286018,0
Nigeria,185960244,4.0465E+11,7.06,84.72563934,42.00254059,,78.5,53.541,0.4494,70.54093551,0.583027843,24.46297956,0.058039826,82.99740158,,38.873,53.14795166,2.746004723,0
North Macedonia,2080746,10672471861,23.72,,,,10.5,75.498,,97.5252827,3.551610817,39.71728787,18.33628661,98.54624045,,11.075,70.36289441,12.85891626,1
Norway,5234519,3.68827E+11,4.68,100.2258835,116.2279892,80.54653931,2.1,82.40731707,2.6983,100.0000035,7.249949804,33.27109973,40.12560396,109.1149238,,11.3,65.60396987,16.59421944,3
Oman,4479217,65441278668,3.27,108.2739029,107.5826797,44.05448914,9.7,77.142,1.9249,90.68742325,15.52503484,0.00904685,6.354835519,153.2914555,,20.292,75.8033934,2.306451192,2
Pakistan,203631356,2.78655E+11,,91.31745911,40.9597702,9.032739639,60.5,66.77,0.962,89.59636844,0.886749485,5.017953508,1.2219798,67.02750435,,28.888,59.98627382,4.315495561,0
Palau,17718,298300000,,,,,17.4,,,99.64526892,14.67434248,89.30434783,,,,12,,,2
Panama,4037073,57907695409,3.31,93.12197876,81.93289185,47.79935837,14.1,77.964,1.5687,93.23054291,2.6677744,57.46762008,10.64955891,127.3636031,,19.562,64.67031353,7.727940852,1
Papua New Guinea,8271766,20759069103,,108.5458603,,,38.8,63.744,,42.25107578,0.922414875,79.47241973,0.205518486,45.7218184,,27.669,60.2229126,3.313453651,2
Paraguay,6777878,36089550659,5.25,,,,18.3,73.836,,98.10319856,1.054902434,43.62730934,3.639195311,110.4988999,,20.993,63.9178934,6.056856783,0
Peru,30926036,1.91896E+11,3.74,103.0602798,101.9628677,71.13298798,11.6,76.044,1.3048,90.86111165,1.827909662,57.03928125,6.857530252,119.4241828,,18.323,65.34223337,7.557736473,1
Philippines,103663812,3.18627E+11,2.7,110.1739273,88.45581055,,23.1,70.802,,92.43642247,1.205049261,23.64101016,2.879936428,115.8522806,,21.623,63.31540795,4.762957983,1
Poland,37970087,4.7263E+11,6.16,,108.604332,67.00454712,4,77.85121951,2.4146,99.42565775,7.894108855,30.81420033,19.28946685,139.5179369,,10.1,68.87713146,16.3376979,1
Portugal,10325452,2.06286E+11,11.07,105.7375183,118.0248413,63.25564957,3,81.12439024,4.9397,99.90618169,4.72231143,36.15499489,32.69172996,112.0724654,,8.4,64.96154486,21.16160921,3
Qatar,2654379,1.51732E+11,0.15,103.0326385,,15.64276028,6.4,79.868,2.6944,99.62980166,32.128042,0,9.558487237,137.606042,,9.862,85.39226198,1.108849017,2
Romania,19702267,1.88129E+11,5.9,86.9076767,91.14482117,48.24060822,7.1,75.2097561,2.2565,100,3.610752001,30.11582928,22.47643939,115.6782699,,10.4,67.15429688,17.42171322,2
Russian Federation,144342397,1.27679E+12,5.56,99.81439209,102.396698,80.63262177,6.5,71.65121951,4.0139,96.61953404,10.60603144,49.77269955,18.94519321,157.718498,,12.2,68.82511953,13.88397716,2
Rwanda,11668829,8690485823,,141.2786865,37.27188873,7.667319775,29.6,67.93,0.1226,57.92420961,0.089983322,11.02553709,0.186145531,76.45612537,,32.353,56.91035611,2.765804995,2
St. Kitts and Nevis,51629,1008888889,,108.7355423,106.9142075,,13.9,,,98.61185413,4.842239826,42.30769231,27.46343826,148.3447942,,,,,0
St. Lucia,180028,1865513444,,101.9086609,88.53397369,18.93825912,19,75.752,,96.00804027,1.944142022,34.04918033,16.5455717,98.12469449,,12.271,71.25605475,9.415411278,1
St. Vincent and the Grenadines,109467,774429629.6,,109.9716263,106.6856537,,14.7,72.193,,95.1452199,2.466496752,73.17948718,19.97551595,102.9143332,,14.58,67.3092208,9.333174979,1
Samoa,194540,799493884.3,,107.2581406,93.25814056,,14.1,72.895,0.3445,91.54020945,1.542099311,57.80565371,1.114966458,77.62510602,,25.036,56.75431156,4.591975737,1
Sao Tome and Principe,203221,345495615,,106.1885376,83.19426727,18.10054016,25.8,69.67,,77.61750204,0.590490156,56.64583333,0.701186358,87.60991404,,32.437,53.97560364,2.893316341,1
Saudi Arabia,32443443,6.44936E+11,5.65,105.1270599,112.339119,67.33551025,6.7,74.761,2.3776,99.70810151,17.1603242,0.454484135,19.71905451,147.7417643,,18.858,71.36899171,3.10632221,0
Senegal,14993514,19040312815,4.460000038,,,10.90740013,35.4,67.078,0.0711,79.86889467,0.661619418,42.737028,0.655970089,101.2869961,,35.727,53.55725364,3.065224381,2
Serbia,7058322,40692643373,15.26,100.5712738,96.23473358,62.13697052,5.2,75.68780488,3.1131,93.76723065,6.551132125,31.10198948,20.60940259,129.1774948,,9.2,66.59961195,17.42315842,0
